Kichenok, 148.350000
Zheng, 135.377656
Ramos, 157.491228
Blake, 167.638182
Brands, 187.051919
Levine, 167.372917
Zemlja, 170.316916
Zakopalova, 135.928077
Krajicek, 150.294118
Baltacha, 149.394172
Koehler, 145.587692
Puchkova, 149.352941
Bartoli, 155.173279
Fabbiano, 154.290000
Pella, 170.381885
Ungur, 162.964286
Altamirano, 157.436620
Jr., 160.402321
Hampton, 148.259380
Dushevina, 148.541209
Arvidsson, 143.808696
Serra, 168.646934
Alund, 171.297297
Petzschner, 167.734821
Carreno-Busta, 155.864865
Przysiezny, 177.769939
Hajek, 161.251208
Voskoboeva, 143.404537
Gacon, 146.657831
Burdette, 150.182243
Petrova, 153.881427
Pavlovic, 149.166667
Morita, 137.653254
Rus, 147.515152
Czink, 146.826367
Kucova, 137.053254
Malisse, 166.013825
Rufin, 176.074627
Weintraub, 173.306818
Marino, 163.195312
Oudin, 143.078603
Zhang, 147.758065
Chang, 144.909091
Bobusic, 141.064220
Dolonc, 145.405109
Garrigues, 138.960106
Savinykh, 140.930818
Andreev, 173.317136
Nalbandian, 168.381331
Baker, 166.605769
Hidalgo, 162.096535
Sweeting, 172.523585
Phau, 167.982857
Clijsters, 151.971924
Benesova, 145.322284
Hampton, 152.712000
Pous-Tio, 144.654088
Amanmuradova, 152.252941
Hlavackova, 150.914634
Keothavong, 145.447005
Lucic, 156.940639
Machado, 154.819742
Andreozzi, 170.301205
Beck, 165.300752
Roddick, 188.714129
Cipolla, 148.990826
Bratchikova, 148.171206
Gallovits-Hall, 137.452055
Sanchez, 139.779292
Clement, 160.599237
Chela, 156.287086
Devilder, 152.774194
Stebe, 166.300813
Ferrero, 162.755340
DiMitrov, 174.513986
Schwank, 169.894737
Garrigues, 138.183857
Strycova, 148.142512
Daniilidou, 147.664122
Chan, 135.334821
Glatch, 143.756098
Mello, 155.049869
Gil, 155.553633
Rezai, 141.997333
Dulko, 144.762452
Dokic, 155.322314
Arn, 154.291498
Ljubicic, 174.473469
Soderling, 181.643788
Gonzalez, 161.533333
Chakvetadze, 140.750000
Dubois, 141.705202
Silva, 160.180328
Ginepri, 161.580420
Reynolds, 175.456432
Lisnard, 156.451220
Jani, 140.891089
Craybas, 133.250000
Dolonts, 142.419355
Bondarenko, 134.436364
Yakimova, 140.614583
Gremelmayr, 153.948718
Millot, 157.965217
Kendrick, 173.394231
Gicquel, 174.309322
Bakker, 177.260000
Veic, 160.675824
Teixeira, 159.650538
Namigata, 142.725000
Rodionova, 142.763052
Bammer, 146.961039
Santonja, 142.458128
Sanchez, 147.578947
Schnyder, 143.280000
Ondraskova, 144.800000
Mirza, 140.115830
Mayr-Achleitner, 136.051282
Vives, 142.266667
Berankis, 172.095238
Ball, 181.964286
Schuettler, 159.561404
Luczak, 170.794643
Greul, 172.394958
Bakker, 176.611650
Garbin, 141.228571
Henin, 151.270833
Tanasugarn, 133.792000
Woerle, 140.200000
Ferguson, 154.422680
Molik, 154.242647
Safina, 150.114286
Peers, 144.586207
Manasieva, 140.798246
Tsurenko, 148.338983
