Player, RClay, RGrass, RHard
Gimeno-Traver, 0.826087, 0.000000, 0.173913
Rola, 0.555556, 0.111111, 0.333333
Mektic, 1.000000, 0.000000, 0.000000
Ungur, 1.000000, 0.000000, 0.000000
Sijsling, 0.294118, 0.205882, 0.500000
Bourgue, 1.000000, 0.000000, 0.000000
Willis, 0.000000, 1.000000, 0.000000
Hemery, 1.000000, 0.000000, 0.000000
Arnaboldi, 1.000000, 0.000000, 0.000000
Soderlund, 1.000000, 0.000000, 0.000000
Zemlja, 0.428571, 0.285714, 0.285714
Wessels, 1.000000, 0.000000, 0.000000
Chiudinelli, 0.000000, 0.750000, 0.250000
Baker, 0.000000, 0.200000, 0.800000
Ymer, 0.714286, 0.000000, 0.285714
Mertl, 1.000000, 0.000000, 0.000000
Lamasine, 1.000000, 0.000000, 0.000000
Munoz, 1.000000, 0.000000, 0.000000
Cacic, 1.000000, 0.000000, 0.000000
Diez, 0.000000, 0.000000, 1.000000
Satral, 0.000000, 0.000000, 1.000000
Sidorenko, 0.000000, 0.000000, 1.000000
Wu, 0.000000, 0.000000, 1.000000
Zopp, 0.333333, 0.000000, 0.666667
Kubot, 0.187500, 0.375000, 0.437500
Nieminen, 0.253968, 0.095238, 0.650794
Haider-Maurer, 0.615385, 0.076923, 0.307692
Kavcic, 0.388889, 0.055556, 0.555556
Venus, 0.000000, 0.000000, 1.000000
Matosevic, 0.139535, 0.139535, 0.720930
Bachinger, 0.000000, 0.125000, 0.875000
Soeda, 0.076923, 0.076923, 0.846154
Jarry, 1.000000, 0.000000, 0.000000
Ward, 0.142857, 0.428571, 0.428571
Arguello, 1.000000, 0.000000, 0.000000
Golubev, 0.466667, 0.000000, 0.533333
Hanescu, 0.700000, 0.000000, 0.300000
Ouahab, 1.000000, 0.000000, 0.000000
Machado, 1.000000, 0.000000, 0.000000
Donati, 1.000000, 0.000000, 0.000000
Mina, 1.000000, 0.000000, 0.000000
Broady, 0.000000, 1.000000, 0.000000
Hernych, 0.000000, 1.000000, 0.000000
Lindell, 1.000000, 0.000000, 0.000000
Demoliner, 1.000000, 0.000000, 0.000000
Galan, 1.000000, 0.000000, 0.000000
Gomez, 1.000000, 0.000000, 0.000000
Trinker, 1.000000, 0.000000, 0.000000
Reister, 0.600000, 0.400000, 0.000000
Munar, 1.000000, 0.000000, 0.000000
Novak, 1.000000, 0.000000, 0.000000
Fish, 0.000000, 0.000000, 1.000000
Bai, 0.000000, 0.000000, 1.000000
Moriya, 0.000000, 0.000000, 1.000000
Zhang, 0.000000, 0.000000, 1.000000
Karatsev, 0.000000, 0.000000, 1.000000
Kudryavtsev, 0.000000, 0.000000, 1.000000
Klahn, 0.000000, 0.000000, 1.000000
Ramos, 0.812500, 0.031250, 0.156250
Davydenko, 0.241379, 0.000000, 0.758621
Przysiezny, 0.071429, 0.214286, 0.714286
Gicquel, 0.000000, 0.000000, 1.000000
Olivetti, 0.000000, 0.000000, 1.000000
Alund, 1.000000, 0.000000, 0.000000
Phau, 0.000000, 0.000000, 1.000000
Volandri, 1.000000, 0.000000, 0.000000
Russell, 0.076923, 0.230769, 0.692308
Bogomolov, 0.000000, 0.000000, 1.000000
Williams, 0.428571, 0.000000, 0.571429
Llodra, 0.125000, 0.187500, 0.687500
Devvarman, 0.142857, 0.000000, 0.857143
Starace, 1.000000, 0.000000, 0.000000
Peliwo, 0.500000, 0.000000, 0.500000
Nedovyesov, 0.500000, 0.000000, 0.500000
Riba, 1.000000, 0.000000, 0.000000
Milojevic, 1.000000, 0.000000, 0.000000
Delic, 1.000000, 0.000000, 0.000000
Kubler, 1.000000, 0.000000, 0.000000
Michon, 1.000000, 0.000000, 0.000000
Huta, 0.000000, 1.000000, 0.000000
Wang, 0.333333, 0.500000, 0.166667
Saville, 0.000000, 1.000000, 0.000000
Puetz, 0.000000, 1.000000, 0.000000
Marti, 1.000000, 0.000000, 0.000000
Sorensen, 1.000000, 0.000000, 0.000000
Ginepri, 0.400000, 0.000000, 0.600000
Petzschner, 0.000000, 0.000000, 1.000000
Amritraj, 0.000000, 0.500000, 0.500000
Malisse, 0.000000, 0.307692, 0.692308
Rochus, 0.000000, 0.000000, 1.000000
Jones, 0.000000, 0.000000, 1.000000
Levine, 0.000000, 0.166667, 0.833333
Rufin, 0.375000, 0.125000, 0.500000
Weintraub, 0.000000, 0.000000, 1.000000
Hajek, 0.750000, 0.000000, 0.250000
Brugues-Davi, 0.000000, 0.000000, 1.000000
Garin, 1.000000, 0.000000, 0.000000
Cipolla, 0.500000, 0.000000, 0.500000
Viola, 0.500000, 0.000000, 0.500000
Capdeville, 1.000000, 0.000000, 0.000000
Nalbandian, 0.833333, 0.000000, 0.166667
Blake, 0.000000, 0.111111, 0.888889
Odesnik, 0.500000, 0.000000, 0.500000
Reynolds, 0.000000, 0.500000, 0.500000
Ramirez-Hidalgo, 1.000000, 0.000000, 0.000000
Olaso, 1.000000, 0.000000, 0.000000
Korolev, 1.000000, 0.000000, 0.000000
Ghem, 1.000000, 0.000000, 0.000000
Langer, 1.000000, 0.000000, 0.000000
Guccione, 1.000000, 0.000000, 0.000000
Johansson, 0.000000, 0.000000, 1.000000
Mecir, 0.000000, 0.000000, 1.000000
